variant,TP,FP,FN,P,R,F1,n_preds,mcnemar_p,mcnemar_b,mcnemar_c,mcnemar_method,delta_f1_vs_full_pipeline,delta_f1_vs_baseline
Raw LLaMA,1862,2121,594,0.46748681898066785,0.75814332247557,0.5783506755707408,3983,,,,,,
full,1448,1031,1008,0.5841064945542558,0.5895765472312704,0.5868287740628166,2479,2.0113386511115282e-84,18.0,432.0,Yates,0.0,0.0085
no_repair,1761,1698,695,0.5091066782307025,0.7170195439739414,0.5954353338968725,3459,2.5124252526053247e-23,0.0,101.0,Yates,0.0086,0.0171
no_local_nli,1594,1398,862,0.5327540106951871,0.6490228013029316,0.5851688693098385,2992,2.996483287772566e-47,37.0,305.0,Yates,-0.0017,0.0068
no_context,1441,1016,1015,0.5864875864875865,0.5867263843648208,0.5866069611235497,2457,6.160929620980938e-86,18.0,439.0,Yates,-0.0002,0.0083
no_retrieval,1503,1162,953,0.5639774859287054,0.6119706840390879,0.5869947275922671,2665,7.88275483771424e-72,20.0,379.0,Yates,0.0002,0.0086
